outlet_name,address,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,x_svy21,y_svy21,geocode_status,proxy_500m,proxy_750m,proxy_1000m,proxy_1500m,area_type,region,pa_hdb_units,win_rate_1000m
Delisia Agency Pte Ltd,Delisia Agency Pte Ltd149 Rochor Road #B1-26 Fu Lu Shou Complex Singapore 188425,188425,Authorised Retailer,26,100,126,matched,1.30151258571919,103.854497235401,149 ROCHOR ROAD FU LU SHOU COMPLEX SINGAPORE 188425,ROCHOR,30356.9931099545,31540.1773409117,OK,1995,1995,3990,3990,residential,CENTRAL REGION,1995,0.03157895
Tong Aik Huat,Tong Aik HuatBlock 685 Hougang Street 61 #01-160 Singapore 530685,530685,Authorised Retailer,23,143,166,matched,1.37518092664617,103.886022660348,685 HOUGANG STREET 61 HOUGANG SPRING SINGAPORE 530685,HOUGANG,33865.3138473639,39686.1002473459,OK,0,0,0,0,residential,NORTH-EAST REGION,57557,0.0
NTUC FairPrice NEX,NTUC FairPrice NEX23 Serangoon Central #03-42 NEX Singapore 556083,556083,Authorised Retailer (FairPrice),18,82,100,matched,1.35067551435975,103.871861623874,23 SERANGOON AVENUE 2 CS MONTESSORI KINDERGARTEN @ SERANGOON SINGAPORE 556083,SERANGOON,32289.4083088608,36976.3859132938,OK,0,0,0,21632,residential,NORTH-EAST REGION,21632,0.0
Tan Wee Fong Trading,Tan Wee Fong TradingBlock 24 Bendemeer Road #01-529 Singapore 330024,330024,Authorised Retailer,16,72,88,matched,1.31862347782977,103.862324355167,24 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330024,KALLANG,31228.0590081075,33432.2206793837,OK,0,0,40171,40171,residential,CENTRAL REGION,40171,0.00219064
Singapore Pools King George's Ave Branch,Singapore Pools King George's Ave BranchBlock 803 King George's Avenue #01-200/202 Singapore 200803,200803,Branch,16,40,56,matched,1.30811749102335,103.861188606169,803 KING GEORGE'S AVENUE SINGAPORE 200803,KALLANG,31101.6741945921,32270.5210870206,OK,0,40171,40171,42166,residential,CENTRAL REGION,40171,0.00139404
NTUC FairPrice AMK Hub,NTUC FairPrice AMK Hub53 Ang Mo Kio Avenue 3 #B2-40 AMK Hub Singapore 569933,569933,Authorised Retailer (FairPrice),16,59,75,matched,1.36923561405404,103.848693181185,53 ANG MO KIO AVENUE 3 ABUNDANT LIFE FAMILY CHURCH SINGAPORE 569933,ANG MO KIO,29711.0075057196,39028.6385976207,OK,0,0,0,0,residential,NORTH-EAST REGION,51310,0.0
Fatt Chye Heng Trading,Fatt Chye Heng TradingBlock 7 Hougang Avenue 3 #01-48 Singapore 530007,530007,Authorised Retailer,16,58,74,matched,1.36232721881747,103.893510807642,7 HOUGANG AVENUE 3 SINGAPORE 530007,HOUGANG,34698.6881755767,38264.8215791211,OK,0,57557,57557,57557,residential,NORTH-EAST REGION,57557,0.00128568
PFG Framing & Trading,PFG Framing & TradingBlock 960 Jurong West Street 92 #01-182 Singapore 640960,640960,Authorised Retailer,14,54,68,matched,1.34138531163603,103.691459639611,960 JURONG WEST STREET 92 SINGAPORE 640960,JURONG WEST,12212.6174492966,35949.5464120321,OK,0,0,0,0,residential,WEST REGION,75206,0.0
Ng Teo Guan Self Service,Ng Teo Guan Self ServiceBlock 301 Ubi Avenue 1 #01-241 Singapore 400301,400301,Authorised Retailer,14,80,94,matched,1.33068802490987,103.901953040703,301 UBI AVENUE 1 SINGAPORE 400301,GEYLANG,35638.308453802,34766.3438084088,OK,0,0,0,0,residential,CENTRAL REGION,31514,0.0
Mee Lee Cheong Pte. Ltd.,Mee Lee Cheong Pte. Ltd.Block 139 Tampines Street 11 #01-88 Singapore 521139,521139,Authorised Retailer,14,54,68,matched,1.34607675043696,103.944284625086,139 TAMPINES STREET 11 ANIMAL ARK TCM SINGAPORE 521139,TAMPINES,40349.3054891257,36468.124962138,OK,0,0,0,0,residential,EAST REGION,75342,0.0
Laura's Gifts,Laura's GiftsBlock 442 Pasir Ris Drive 6 #01-42 Singapore 510442,510442,Authorised Retailer,14,32,46,matched,1.36893288711175,103.957951722203,442 PASIR RIS DRIVE 6 SINGAPORE 510442,PASIR RIS,41870.1757516786,38995.5194303729,OK,0,0,0,29654,residential,EAST REGION,29654,0.0
Singapore Pools Suntec City Branch,Singapore Pools Suntec City Branch3 Temasek Boulevard #B1-143 Suntec City Singapore 038983,038983,Branch,13,38,51,matched,1.29485990186642,103.860333693777,3 TEMASEK BOULEVARD GOLDEN VILLAGE (GV SUNTEC CITY) SINGAPORE 038983,DOWNTOWN CORE,31006.546098751,30804.5639691036,OK,0,0,0,3990,residential,CENTRAL REGION,1995,0.0
Singapore Pools People's Park Centre (Chinatown) Branch,Singapore Pools People's Park Centre (Chinatown) Branch101 Upper Cross Street #01-12 People's Park Centre Singapore 058357,058357,Branch,13,83,96,matched,1.28549527021288,103.843851997218,101 UPPER CROSS STREET CHINATOWN POST OFFICE SINGAPORE 058357,OUTRAM,29172.2815868082,29769.0577452593,OK,1995,1995,1995,5985,residential,CENTRAL REGION,1995,0.0481203
NTUC FairPrice Tampines Mall,NTUC FairPrice Tampines Mall4 Tampines Central 5 #B1-12 Tampines Mall Singapore 529510,529510,Authorised Retailer (FairPrice),13,65,78,matched,1.35250468330971,103.944682574769,4 TAMPINES CENTRAL 5 GOLDEN VILLAGE (GV TAMPINES) SINGAPORE 529510,TAMPINES,40393.5604594583,37178.8963100612,OK,0,0,0,0,residential,EAST REGION,75342,0.0
7-Eleven Store Eunos Crescent,7-Eleven Store Eunos CrescentBlock 1A Eunos Crescent #01-2469/2471 Singapore 401001,401001,Authorised Retailer (7-Eleven),13,35,48,matched,1.32129030482793,103.902727807563,1A EUNOS CRESCENT SINGAPORE 401001,GEYLANG,35724.5611898508,33727.193773346,OK,0,0,0,0,residential,CENTRAL REGION,31514,0.0
Singapore Pools Toa Payoh Lorong 1 Branch,Singapore Pools Toa Payoh Lorong 1 BranchBlock 111 Toa Payoh Lorong 1 #01-354 Singapore 310111,310111,Branch,12,49,61,matched,1.34123713837195,103.845306137194,111 LORONG 1 TOA PAYOH TOA PAYOH NORTH SINGAPORE 310111,TOA PAYOH,29334.0857224576,35932.7078181338,OK,0,0,0,0,residential,CENTRAL REGION,42185,0.0
Singapore Pools Hougang N1 Branch,Singapore Pools Hougang N1 BranchBlock 106 Hougang Avenue 1 #01-1209/1211 Singapore 530106,530106,Branch,12,47,59,matched,1.3537029714401,103.890680792553,106 HOUGANG AVENUE 1 SINGAPORE 530106,HOUGANG,34383.7632439835,37311.1881324742,OK,0,57557,57557,57557,residential,NORTH-EAST REGION,57557,0.00102507
Singapore Pools Clementi N7 Branch,Singapore Pools Clementi N7 BranchBlock 722 Clementi West Street 2 #01-164 Singapore 120722,120722,Branch,12,37,49,matched,1.30297959881951,103.76371403028,722 CLEMENTI WEST STREET 2 SINGAPORE 120722,CLEMENTI,20253.6452355636,31702.4892522544,OK,0,0,0,26730,residential,WEST REGION,26730,0.0
