outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,planning_area,region,geocode_status,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,neighborhood_type,dominant_landuse_1000m,landuse_diversity_1000m,win_rate_hdb_1000m
Delisia Agency Pte Ltd,188425,Authorised Retailer,26,100,126,matched,1.30151258571919,103.854497235401,149 ROCHOR ROAD FU LU SHOU COMPLEX SINGAPORE 188425,ROCHOR,CENTRAL REGION,OK,81316,178487,84465,102716,21802,14,0.3589,424508,922805,155246,316134,162489,69,0.3342,1029553,1416488,239885,993625,652690,114,0.428,commercial,commercial,5,1.826087
Tong Aik Huat,530685,Authorised Retailer,23,143,166,matched,1.37518092664617,103.886022660348,685 HOUGANG STREET 61 HOUGANG SPRING SINGAPORE 530685,HOUGANG,NORTH-EAST REGION,OK,519059,0,0,101110,18847,120,1.0,1738647,24019,72424,471914,172893,355,0.9672,3574011,353627,160767,846480,413277,625,0.8938,residential,residential,5,0.467606
NTUC FairPrice NEX,556083,Authorised Retailer (FairPrice),18,82,100,matched,1.35067551435975,103.871861623874,23 SERANGOON AVENUE 2 CS MONTESSORI KINDERGARTEN @ SERANGOON SINGAPORE 556083,SERANGOON,NORTH-EAST REGION,OK,492073,19983,83592,60658,17617,81,0.8963,1931025,19983,109843,183555,129935,171,0.9637,4178321,59759,146503,508814,331179,219,0.9697,residential,residential,5,0.584795
Tan Wee Fong Trading,330024,Authorised Retailer,16,72,88,matched,1.31862347782977,103.862324355167,24 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330024,KALLANG,CENTRAL REGION,OK,360903,153163,5486,34562,12692,72,0.6999,1314326,511253,16062,168596,194889,193,0.718,2649674,941614,122501,472312,340717,372,0.73,residential,residential,5,0.455959
Singapore Pools King George's Ave Branch,200803,Branch,16,40,56,matched,1.30811749102335,103.861188606169,803 KING GEORGE'S AVENUE SINGAPORE 200803,KALLANG,CENTRAL REGION,OK,196619,154578,57365,66015,59302,39,0.5515,593140,856977,102623,158830,181347,96,0.415,1554345,1295205,197017,310988,405898,223,0.5425,mixed,commercial,5,0.583333
NTUC FairPrice AMK Hub,569933,Authorised Retailer (FairPrice),16,59,75,matched,1.36923561405404,103.848693181185,53 ANG MO KIO AVENUE 3 ABUNDANT LIFE FAMILY CHURCH SINGAPORE 569933,ANG MO KIO,NORTH-EAST REGION,OK,347455,19300,108154,61603,28657,86,0.8455,1502032,19300,210764,131393,555769,271,0.928,3055447,525211,345948,930950,833967,486,0.8222,residential,residential,5,0.276753
Fatt Chye Heng Trading,530007,Authorised Retailer,16,58,74,matched,1.36232721881747,103.893510807642,7 HOUGANG AVENUE 3 SINGAPORE 530007,HOUGANG,NORTH-EAST REGION,OK,467558,43414,17819,39005,9619,50,0.9011,1263841,951063,117997,156384,66152,145,0.567,2601534,1823593,158435,302165,268162,307,0.5849,mixed,residential,5,0.510345
PFG Framing & Trading,640960,Authorised Retailer,14,54,68,matched,1.34138531163603,103.691459639611,960 JURONG WEST STREET 92 SINGAPORE 640960,JURONG WEST,WEST REGION,OK,494287,0,30125,71758,65460,99,0.9713,1211432,118298,40280,179533,110616,275,0.899,2031681,853034,40280,2073480,224124,424,0.7015,residential,residential,5,0.247273
Ng Teo Guan Self Service,400301,Authorised Retailer,14,80,94,matched,1.33068802490987,103.901953040703,301 UBI AVENUE 1 SINGAPORE 400301,GEYLANG,CENTRAL REGION,OK,325812,228605,0,49938,14570,62,0.5877,919001,1221914,0,126304,43229,149,0.4293,2143071,2159462,38230,297593,100037,263,0.4981,mixed,commercial,4,0.630872
Mee Lee Cheong Pte. Ltd.,521139,Authorised Retailer,14,54,68,matched,1.34607675043696,103.944284625086,139 TAMPINES STREET 11 ANIMAL ARK TCM SINGAPORE 521139,TAMPINES,EAST REGION,OK,293057,46631,51735,66840,55662,48,0.8148,1453689,374339,75631,283880,205045,203,0.7835,3230022,618461,202783,839612,420690,575,0.8223,residential,residential,5,0.334975
