outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,latitude,longitude,onemap_address,x_svy21,y_svy21,planning_area,geocode_status
Delisia Agency Pte Ltd,188425,Authorised Retailer,26,100,126,matched,1.30151258571919,103.854497235401,149 ROCHOR ROAD FU LU SHOU COMPLEX SINGAPORE 188425,30356.9931099545,31540.1773409117,,OK
Tong Aik Huat,530685,Authorised Retailer,23,143,166,matched,1.37518092664617,103.886022660348,685 HOUGANG STREET 61 HOUGANG SPRING SINGAPORE 530685,33865.3138473639,39686.1002473459,,OK
NTUC FairPrice NEX,556083,Authorised Retailer (FairPrice),18,82,100,matched,1.35067551435975,103.871861623874,23 SERANGOON AVENUE 2 CS MONTESSORI KINDERGARTEN @ SERANGOON SINGAPORE 556083,32289.4083088608,36976.3859132938,,OK
Tan Wee Fong Trading,330024,Authorised Retailer,16,72,88,matched,1.31862347782977,103.862324355167,24 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330024,31228.0590081075,33432.2206793837,,OK
Singapore Pools King George's Ave Branch,200803,Branch,16,40,56,matched,1.30811749102335,103.861188606169,803 KING GEORGE'S AVENUE SINGAPORE 200803,31101.6741945921,32270.5210870206,,OK
NTUC FairPrice AMK Hub,569933,Authorised Retailer (FairPrice),16,59,75,matched,1.36923561405404,103.848693181185,53 ANG MO KIO AVENUE 3 ABUNDANT LIFE FAMILY CHURCH SINGAPORE 569933,29711.0075057196,39028.6385976207,,OK
Fatt Chye Heng Trading,530007,Authorised Retailer,16,58,74,matched,1.36232721881747,103.893510807642,7 HOUGANG AVENUE 3 SINGAPORE 530007,34698.6881755767,38264.8215791211,,OK
PFG Framing & Trading,640960,Authorised Retailer,14,54,68,matched,1.34138531163603,103.691459639611,960 JURONG WEST STREET 92 SINGAPORE 640960,12212.6174492966,35949.5464120321,,OK
Ng Teo Guan Self Service,400301,Authorised Retailer,14,80,94,matched,1.33068802490987,103.901953040703,301 UBI AVENUE 1 SINGAPORE 400301,35638.308453802,34766.3438084088,,OK
Mee Lee Cheong Pte. Ltd.,521139,Authorised Retailer,14,54,68,matched,1.34616073984853,103.944509228,139 TAMPINES STREET 11 SINGAPORE 521139,40374.3009414189,36477.4132377654,,OK
Laura's Gifts,510442,Authorised Retailer,14,32,46,matched,1.36893288711175,103.957951722203,442 PASIR RIS DRIVE 6 SINGAPORE 510442,41870.1757516786,38995.5194303729,,OK
Singapore Pools Suntec City Branch,038983,Branch,13,38,51,matched,1.29485990186642,103.860333693777,3 TEMASEK BOULEVARD GOLDEN VILLAGE (GV SUNTEC CITY) SINGAPORE 038983,31006.546098751,30804.5639691036,,OK
Singapore Pools People's Park Centre (Chinatown) Branch,058357,Branch,13,83,96,matched,1.28549527021288,103.843851997218,101 UPPER CROSS STREET CHINATOWN POST OFFICE SINGAPORE 058357,29172.2815868082,29769.0577452593,,OK
NTUC FairPrice Tampines Mall,529510,Authorised Retailer (FairPrice),13,65,78,matched,1.35250468330971,103.944682574769,4 TAMPINES CENTRAL 5 GOLDEN VILLAGE (GV TAMPINES) SINGAPORE 529510,40393.5604594583,37178.8963100612,,OK
7-Eleven Store Eunos Crescent,401001,Authorised Retailer (7-Eleven),13,35,48,matched,1.32129030482793,103.902727807563,1A EUNOS CRESCENT SINGAPORE 401001,35724.5611898508,33727.193773346,,OK
Singapore Pools Toa Payoh Lorong 1 Branch,310111,Branch,12,49,61,matched,1.34123713837195,103.845306137194,111 LORONG 1 TOA PAYOH TOA PAYOH NORTH SINGAPORE 310111,29334.0857224576,35932.7078181338,,OK
Singapore Pools Hougang N1 Branch,530106,Branch,12,47,59,matched,1.3537029714401,103.890680792553,106 HOUGANG AVENUE 1 SINGAPORE 530106,34383.7632439835,37311.1881324742,,OK
Singapore Pools Clementi N7 Branch,120722,Branch,12,37,49,matched,1.30297959881951,103.76371403028,722 CLEMENTI WEST STREET 2 SINGAPORE 120722,20253.6452355636,31702.4892522544,,OK
NTUC FairPrice Toa Payoh HDB Centre,310500,Authorised Retailer (FairPrice),12,34,46,matched,1.33285542884681,103.847092284316,500 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310500,29532.8697974812,35005.9023080505,,OK
