outlet_name,address,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source
Delisia Agency Pte Ltd,Delisia Agency Pte Ltd149 Rochor Road #B1-26 Fu Lu Shou Complex Singapore 188425,188425,Authorised Retailer,26,100,126,matched
Tong Aik Huat,Tong Aik HuatBlock 685 Hougang Street 61 #01-160 Singapore 530685,530685,Authorised Retailer,23,143,166,matched
NTUC FairPrice NEX,NTUC FairPrice NEX23 Serangoon Central #03-42 NEX Singapore 556083,556083,Authorised Retailer (FairPrice),18,82,100,matched
Tan Wee Fong Trading,Tan Wee Fong TradingBlock 24 Bendemeer Road #01-529 Singapore 330024,330024,Authorised Retailer,16,72,88,matched
Singapore Pools King George's Ave Branch,Singapore Pools King George's Ave BranchBlock 803 King George's Avenue #01-200/202 Singapore 200803,200803,Branch,16,40,56,matched
NTUC FairPrice AMK Hub,NTUC FairPrice AMK Hub53 Ang Mo Kio Avenue 3 #B2-40 AMK Hub Singapore 569933,569933,Authorised Retailer (FairPrice),16,59,75,matched
Fatt Chye Heng Trading,Fatt Chye Heng TradingBlock 7 Hougang Avenue 3 #01-48 Singapore 530007,530007,Authorised Retailer,16,58,74,matched
PFG Framing & Trading,PFG Framing & TradingBlock 960 Jurong West Street 92 #01-182 Singapore 640960,640960,Authorised Retailer,14,54,68,matched
Ng Teo Guan Self Service,Ng Teo Guan Self ServiceBlock 301 Ubi Avenue 1 #01-241 Singapore 400301,400301,Authorised Retailer,14,80,94,matched
Mee Lee Cheong Pte. Ltd.,Mee Lee Cheong Pte. Ltd.Block 139 Tampines Street 11 #01-88 Singapore 521139,521139,Authorised Retailer,14,54,68,matched
Laura's Gifts,Laura's GiftsBlock 442 Pasir Ris Drive 6 #01-42 Singapore 510442,510442,Authorised Retailer,14,32,46,matched
Singapore Pools Suntec City Branch,Singapore Pools Suntec City Branch3 Temasek Boulevard #B1-143 Suntec City Singapore 038983,038983,Branch,13,38,51,matched
Singapore Pools People's Park Centre (Chinatown) Branch,Singapore Pools People's Park Centre (Chinatown) Branch101 Upper Cross Street #01-12 People's Park Centre Singapore 058357,058357,Branch,13,83,96,matched
NTUC FairPrice Tampines Mall,NTUC FairPrice Tampines Mall4 Tampines Central 5 #B1-12 Tampines Mall Singapore 529510,529510,Authorised Retailer (FairPrice),13,65,78,matched
7-Eleven Store Eunos Crescent,7-Eleven Store Eunos CrescentBlock 1A Eunos Crescent #01-2469/2471 Singapore 401001,401001,Authorised Retailer (7-Eleven),13,35,48,matched
Singapore Pools Toa Payoh Lorong 1 Branch,Singapore Pools Toa Payoh Lorong 1 BranchBlock 111 Toa Payoh Lorong 1 #01-354 Singapore 310111,310111,Branch,12,49,61,matched
Singapore Pools Hougang N1 Branch,Singapore Pools Hougang N1 BranchBlock 106 Hougang Avenue 1 #01-1209/1211 Singapore 530106,530106,Branch,12,47,59,matched
Singapore Pools Clementi N7 Branch,Singapore Pools Clementi N7 BranchBlock 722 Clementi West Street 2 #01-164 Singapore 120722,120722,Branch,12,37,49,matched
NTUC FairPrice Toa Payoh HDB Centre,NTUC FairPrice Toa Payoh HDB Centre500 Lorong 6 Toa Payoh #B1-32/#01-33 HDB Centre Singapore 310500,310500,Authorised Retailer (FairPrice),12,34,46,matched
NTUC FairPrice Clementi Avenue 3,NTUC FairPrice Clementi Avenue 3Block 451 Clementi Avenue 3 #01-307 Singapore 120451,120451,Authorised Retailer (FairPrice),12,36,48,matched
Singapore Pools Yishun N1 Branch,Singapore Pools Yishun N1 BranchBlock 101 Yishun Avenue 5 #01-37 Singapore 760101,760101,Branch,11,58,69,matched
Singapore Pools Whampoa Drive Branch,Singapore Pools Whampoa Drive BranchBlock 88 Whampoa Drive #01-857 Singapore 320088,320088,Branch,11,54,65,matched
Singapore Pools Teck Whye Branch,Singapore Pools Teck Whye BranchBlock 141 Teck Whye Lane #01-271 Singapore 680141,680141,Branch,11,48,59,matched
Singapore Pools Tanjong Pagar Branch,Singapore Pools Tanjong Pagar BranchBlock 1 Tanjong Pagar Plaza #01-49/50 Singapore 082001,082001,Branch,11,61,72,matched
Singapore Pools Jurong West N5 Branch,Singapore Pools Jurong West N5 BranchBlock 508 Jurong West Street 52 #01-166 Singapore 640508,640508,Branch,11,64,75,matched
Singapore Pools IMM Branch,Singapore Pools IMM Branch2 Jurong East Street 21 #02-63 IMM Building Singapore 609601,609601,Branch,11,45,56,matched
Singapore Pools Hougang N2 Branch,Singapore Pools Hougang N2 BranchBlock 211 Hougang Street 21 #01-309 Singapore 530211,530211,Branch,11,56,67,matched
NTUC FairPrice Yishun MRT Station,NTUC FairPrice Yishun MRT Station301 Yishun Avenue 2 #01-02 Yishun MRT Singapore 769093,769093,Authorised Retailer (FairPrice),11,49,60,matched
NTUC FairPrice Jurong Gateway Road,NTUC FairPrice Jurong Gateway RoadBlock 135 Jurong Gateway Road #01-337 Singapore 600135,600135,Authorised Retailer (FairPrice),11,46,57,matched
Jake Merchandise Associates,Jake Merchandise AssociatesBlock 503 Tampines Central 1 #01-283 Singapore 520503,520503,Authorised Retailer,11,42,53,matched
7-Eleven Store Yishun Ring Road,7-Eleven Store Yishun Ring RoadBlock 103 Yishun Ring Road #01-69 Singapore 760103,760103,Authorised Retailer (7-Eleven),11,51,62,matched
Wanrise,WanriseBlock 47 Sims Place #01-177 Singapore 380047,380047,Authorised Retailer,10,41,51,matched
Tay Sui Lan Agency,Tay Sui Lan Agency11 Collyer Quay #02-13 The Arcade Singapore 049317,049317,Authorised Retailer,10,45,55,matched
Tampines Trading - 828,Tampines Trading - 828Block 828 Tampines Street 81 #01-234 Singapore 520828,520828,Authorised Retailer,10,53,63,matched
Singapore Pools Woodlands 888 Branch,Singapore Pools Woodlands 888 Branch888 Woodlands Drive 50 #01-711 888 Plaza Singapore 730888,730888,Branch,10,51,61,matched
Singapore Pools Tampines Mart Branch,Singapore Pools Tampines Mart Branch11 Tampines Street 32 #01-03 Tampines Mart Singapore 529287,529287,Branch,10,24,34,matched
Singapore Pools Clementi N3 Branch,Singapore Pools Clementi N3 BranchBlock 325 Clementi Avenue 5 #01-145 Singapore 120325,120325,Branch,10,46,56,matched
Singapore Pools Bencoolen Branch,Singapore Pools Bencoolen Branch180 Bencoolen Street #01-59 The Bencoolen Singapore 189646,189646,Branch,10,58,68,matched
Rangoon Provision Shop,Rangoon Provision ShopBlock 681 Race Course Road #01-309 Singapore 210681,210681,Authorised Retailer,10,38,48,matched
NTUC FairPrice Bukit Batok MRT Station,NTUC FairPrice Bukit Batok MRT Station10 Bukit Batok Central #01-08 Bukit Batok MRT Singapore 659958,659958,Authorised Retailer (FairPrice),10,30,40,matched
Livewire Singapore Pools,Livewire Singapore Pools210 Middle Road #01-01 Singapore Pools Building Singapore 188994,188994,Lottery Lobby,10,48,58,matched
Livewire Marina Bay Sands,Livewire Marina Bay Sands2 Bayfront Avenue #01-01 Marina Bay Sands Singapore 018972,018972,Livewire,10,40,50,matched
Lee Eng Trading Store,Lee Eng Trading StoreBlock 201B Tampines Street 21 #01-1083 Singapore 522201,522201,Authorised Retailer,10,44,54,matched
Cheers Harbourfront Centre,Cheers Harbourfront Centre1 Maritime Square #01-82 Harbourfront Centre Singapore 099253,099253,Authorised Retailer,10,35,45,matched
Singapore Pools Woodlands N5 Branch,Singapore Pools Woodlands N5 Branch548 Woodlands Drive 44 #02-04 Vista Point Singapore 730548,730548,Branch,9,39,48,matched
Singapore Pools Toa Payoh Lorong 8 Branch,Singapore Pools Toa Payoh Lorong 8 BranchBlock 212 Toa Payoh Lorong 8 #01-39 Singapore 310212,310212,Branch,9,34,43,matched
Singapore Pools New Upper Changi Branch,Singapore Pools New Upper Changi BranchBlock 26 New Upper Changi Road #01-666/668 Singapore 462026,462026,Branch,9,28,37,matched
Singapore Pools Lorong 25A Geylang Branch,Singapore Pools Lorong 25A Geylang Branch62 Lorong 25A Geylang Road Singapore 388251,388251,Branch,9,47,56,matched
Singapore Pools Jurong West N4 Branch,Singapore Pools Jurong West N4 BranchBlock 498 Jurong West Street 41 #01-472 Singapore 640498,640498,Branch,9,53,62,matched
Singapore Pools Clementi Town Centre Branch,Singapore Pools Clementi Town Centre BranchBlock 446 Clementi Avenue 3 #01-183 Singapore 120446,120446,Branch,9,68,77,matched
Singapore Pools Bedok Town Centre Branch,Singapore Pools Bedok Town Centre BranchBlock 204 Bedok North Street 1 #01-415 Singapore 460204,460204,Branch,9,54,63,matched
NTUC FairPrice Lot 1 Shoppers' Mall,NTUC FairPrice Lot 1 Shoppers' Mall21 Choa Chu Kang Avenue 4 #B1-03 Lot 1 Shoppers' Mall Singapore 689812,689812,Authorised Retailer (FairPrice),9,30,39,matched
Nan Huat Wine Store,Nan Huat Wine StoreBlock 513 Bishan Street 13 #01-508 Singapore 570513,570513,Authorised Retailer,9,40,49,matched
Evercool Engineering,Evercool EngineeringBlock 95 Lorong 4 Toa Payoh #01-50 Singapore 310095,310095,Authorised Retailer,9,34,43,matched
Tan Boon Tin Agency,Tan Boon Tin AgencyBlk 56 Marine Terrace #01-253 Singapore 440056,440056,,8,23,31,scraped
Singapore Pools Pasir Ris N2 Branch,Singapore Pools Pasir Ris N2 Branch259 Pasir Ris Street 21 #02-29 Loyang Point Singapore 510259,510259,Branch,8,45,53,matched
Singapore Pools Ang Mo Kio N7 Branch,Singapore Pools Ang Mo Kio N7 BranchBlock 726 Ang Mo Kio Avenue 6 #01-4158 Singapore 560726,560726,Branch,8,46,54,matched
Singapore Pools Ang Mo Kio N2 Branch,Singapore Pools Ang Mo Kio N2 BranchBlock 202 Ang Mo Kio Avenue 3 #01-1662/1664 Singapore 560202,560202,Branch,8,43,51,matched
Seah Geok Eng Agency - Rivervale Plaza,Seah Geok Eng Agency - Rivervale Plaza118 Rivervale Drive #01-15 Rivervale Plaza Singapore 540118,540118,Authorised Retailer,8,42,50,matched
NTUC FairPrice White Sands,NTUC FairPrice White Sands1 Pasir Ris Central Street 3 #B1-10 White Sands Singapore 518457,518457,Authorised Retailer (FairPrice),8,39,47,matched
NTUC FairPrice Sun Plaza,NTUC FairPrice Sun Plaza30 Sembawang Drive #B1-01/02 Sun Plaza Singapore 757713,757713,Authorised Retailer (FairPrice),8,34,42,matched
NTUC FairPrice Jurong Point,NTUC FairPrice Jurong Point63 Jurong West Central 3 #03-01 Jurong Point Singapore 648331,648331,Authorised Retailer (FairPrice),8,64,72,matched
NTUC FairPrice Bedok North Street 4,NTUC FairPrice Bedok North Street 4Block 89 Bedok North Street 4 #01-77/79 Singapore 460089,460089,Authorised Retailer (FairPrice),8,23,31,matched
Giant Sunshine Place,Giant Sunshine Place475 Choa Chu Kang Avenue 3 #01-01/10 Sunshine Place Singapore 680475,680475,Authorised Retailer,8,25,33,matched
Cheers Hougang Central,Cheers Hougang CentralBlock 810 Hougang Central #01-214 Singapore 530810,530810,Authorised Retailer,8,45,53,matched
Vitatron & Medical Co,Vitatron & Medical Co60 Smith Street Singapore 058963,058963,Authorised Retailer,7,28,35,matched
Teo Sook Cheng Agency,Teo Sook Cheng AgencyBlock 293 Yishun Street 22 #01-225 Singapore 760293,760293,Authorised Retailer,7,65,72,matched
Soh Choo Trading,Soh Choo TradingBlock 19 Marsiling Lane #01-303 Singapore 730019,730019,Authorised Retailer,7,37,44,matched
Singapore Pools Tampines N4 Branch,Singapore Pools Tampines N4 BranchBlock 481 Tampines Street 44 #01-277 Singapore 520481,520481,Branch,7,20,27,matched
Singapore Pools Serangoon Central Branch,Singapore Pools Serangoon Central BranchBlock 254 Serangoon Central Drive #01-209 Singapore 550254,550254,Branch,7,41,48,matched
Singapore Pools Potong Pasir Branch,Singapore Pools Potong Pasir BranchBlock 148 Potong Pasir Avenue 1 #01-73 Singapore 350148,350148,Branch,7,17,24,matched
Singapore Pools Lucky Plaza Branch,Singapore Pools Lucky Plaza Branch304 Orchard Road #B1-91/92 Lucky Plaza Singapore 238863,238863,Branch,7,67,74,matched
Singapore Pools Holland Drive Branch,Singapore Pools Holland Drive BranchBlock 46 Holland Drive #01-371/373 Singapore 270046,270046,Branch,7,56,63,matched
Singapore Pools Bukit Panjang Branch,Singapore Pools Bukit Panjang BranchBlock 257 Bangkit Road #01-49 Singapore 670257,670257,Branch,7,46,53,matched
Singapore Pools Bishan N2 Branch,Singapore Pools Bishan N2 BranchBlock 279 Bishan Street 24 #01-52 Singapore 570279,570279,Branch,7,36,43,matched
Singapore Pools Ang Mo Kio N4 Branch,Singapore Pools Ang Mo Kio N4 BranchBlock 447 Ang Mo Kio Avenue 10 #01-1685 Singapore 560447,560447,Branch,7,45,52,matched
