sn,outlet_name,full_address,building,street,unit,postal_code,outlet_type
1,1 Marina Bay Sands/ 2 Bayfront Avenue #01-01 Livew,1 Marina Bay Sands/ 2 Bayfront Avenue #01-01 Livewire - Marina Bay Sands 018972,,,,018972,Livewire
2,2 Singapore Pools/ 210 Middle Road #01-01 Livewire,2 Singapore Pools/ 210 Middle Road #01-01 Livewire - Singapore Pools 188994,,,,188994,Livewire
3,3 The Majestic/ 80 Eu Tong Sen Street #03 Livewire,3 The Majestic/ 80 Eu Tong Sen Street #03 Livewire -Majestic 059810,,,,059810,Livewire
4,1 Block 215 Bedok North Street 1 #02-87 OCB - Bedo,1 Block 215 Bedok North Street 1 #02-87 OCB - Bedok Centre 460215,,,,460215,Betting Centre
5,2 Connection ONE Tower 2/ Block 169 Jalan Bukit Me,2 Connection ONE Tower 2/ Block 169 Jalan Bukit Merah #01-20 (including basement)/#02-20 OCB- Bukit Merah 150169,,,,150169,Betting Centre
6,3 Block 47 Holland Drive #01-385 OCB- Holland Driv,3 Block 47 Holland Drive #01-385 OCB- Holland Drive 270047,,,,270047,Betting Centre
7,4 Block 352 Jurong East Street 31 #01-129 OCB- Jur,4 Block 352 Jurong East Street 31 #01-129 OCB- Jurong East 600352,,,,600352,Betting Centre
8,5 The Majestic/ 80 Eu Tong Sen Street #01/#02 OCB ,5 The Majestic/ 80 Eu Tong Sen Street #01/#02 OCB - The Majestic 059810,,,,059810,Betting Centre
9,6 Block 677 Rangoon Road #02-00/#03-00/#04-00 OCB-,6 Block 677 Rangoon Road #02-00/#03-00/#04-00 OCB- Rangoon 210677,,,,210677,Betting Centre
10,7 Block 267 Serangoon Avenue 3 #02-01/#03-02 OCB -,7 Block 267 Serangoon Avenue 3 #02-01/#03-02 OCB - Serangoon Avenue 3 550267,,,,550267,Betting Centre
11,1 Block 308 Anchorvale Road #01-05 SPPL Branch - A,1 Block 308 Anchorvale Road #01-05 SPPL Branch - Anchorvale Road 540308,,,,540308,Branch
12,2 Block 202 Ang Mo Kio Avenue 3 #01-1662/1664 SPPL,2 Block 202 Ang Mo Kio Avenue 3 #01-1662/1664 SPPL Branch - Ang Mo Kio N2 560202,,,,560202,Branch
13,3 Block 226A Ang Mo Kio Avenue 1 #01-625 SPPL Bran,3 Block 226A Ang Mo Kio Avenue 1 #01-625 SPPL Branch - Ang Mo Kio N2A 561226,,,,561226,Branch
14,4 Block 447 Ang Mo Kio Avenue 10 #01-1685 SPPL Bra,4 Block 447 Ang Mo Kio Avenue 10 #01-1685 SPPL Branch - Ang Mo Kio N4 560447,,,,560447,Branch
15,5 Block 630 Ang Mo Kio Avenue 4 #01-968 SPPL Branc,5 Block 630 Ang Mo Kio Avenue 4 #01-968 SPPL Branch - Ang Mo Kio N6 560630,,,,560630,Branch
16,6 Block 726 Ang Mo Kio Avenue 6 #01-4158 SPPL Bran,6 Block 726 Ang Mo Kio Avenue 6 #01-4158 SPPL Branch - Ang Mo Kio N7 560726,,,,560726,Branch
17,7 Block 2 Balestier Road #01-641 SPPL Branch - Bal,7 Block 2 Balestier Road #01-641 SPPL Branch - Balestier Road 320002,,,,320002,Branch
18,8 Block 509 Bedok North Street 3 #01-129 SPPL Bran,8 Block 509 Bedok North Street 3 #01-129 SPPL Branch - Bedok North 460509,,,,460509,Branch
19,9 Block 204 Bedok North Street 1 #01-415 SPPL Bran,9 Block 204 Bedok North Street 1 #01-415 SPPL Branch - Bedok Town Centre 460204,,,,460204,Branch
20,10 The Bencoolen/ 180 Bencoolen Street #01-59 SPPL,10 The Bencoolen/ 180 Bencoolen Street #01-59 SPPL Branch - Bencoolen 189646,,,,189646,Branch
21,11 Block 36 Beo Crescent #01-45 SPPL Branch - Beo ,11 Block 36 Beo Crescent #01-45 SPPL Branch - Beo Crescent 160036,,,,160036,Branch
22,12 Block 152 Bishan Street 11 #01-211 SPPL Branch ,12 Block 152 Bishan Street 11 #01-211 SPPL Branch - Bishan N1 570152,,,,570152,Branch
23,13 Block 279 Bishan Street 24 #01-52 SPPL Branch -,13 Block 279 Bishan Street 24 #01-52 SPPL Branch - Bishan N2 570279,,,,570279,Branch
24,14 Block 642 Bukit Batok Central #01-54/56 (part o,14 Block 642 Bukit Batok Central #01-54/56 (part of) SPPL Branch - Bukit Batok Central 650642,,,,650642,Branch
25,15 Block 324 Bukit Batok Street 33 #01-47 SPPL Bra,15 Block 324 Bukit Batok Street 33 #01-47 SPPL Branch - Bukit Batok N3 650324,,,,650324,Branch
26,16 Block 374 Bukit Batok Street 31 #01-170 SPPL Br,16 Block 374 Bukit Batok Street 31 #01-170 SPPL Branch - Bukit Gombak 650374,,,,650374,Branch
