outlet_name,open_mon,close_mon,open_tue,close_tue,open_wed,close_wed,open_thu,close_thu,open_fri,close_fri,open_sat,close_sat,open_sun,close_sun,open_time,close_time,open_hours_daily,has_varying_hours
Singapore Pools Account Betting Service,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,8.00 am,6.00 pm,10.0,0
Delisia Agency Pte Ltd,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Tong Aik Huat,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
NTUC FairPrice NEX,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,13.5,0
Tan Wee Fong Trading,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Singapore Pools King George's Ave Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
NTUC FairPrice AMK Hub,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,8.00 am,9.30 pm,13.5,0
Fatt Chye Heng Trading,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
PFG Framing & Trading,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Ng Teo Guan Self Service,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Mee Lee Cheong Pte. Ltd.,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Laura's Gifts,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Singapore Pools Suntec City Branch,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,10.00 am,9.00 pm,11.0,0
Singapore Pools People's Park Centre (Chinatown) Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
NTUC FairPrice Tampines Mall,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
7-Eleven Store Eunos Crescent,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Singapore Pools Toa Payoh Lorong 1 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Hougang N1 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Clementi N7 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
NTUC FairPrice Toa Payoh HDB Centre,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
NTUC FairPrice Clementi Avenue 3,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,8.00 am,7.00 pm,11.0,0
Singapore Pools Yishun N1 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Whampoa Drive Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Teck Whye Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Tanjong Pagar Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
Singapore Pools Jurong West N5 Branch,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,8.00 am,8.00 pm,12.0,0
