outlet_name,draw_date,draw_number,prize_amount,bet_type,prize_group
Singapore Pools Account Betting Service,11/05/2026,4181,1520135.0,system 8,1
Singapore Pools Account Betting Service,11/05/2026,4181,42612.0,system 7,2
Singapore Pools Account Betting Service,11/05/2026,4181,42612.0,system 8,2
Singapore Pools Account Betting Service,07/05/2026,4180,42759.0,system 7,2
Singapore Pools Account Betting Service,07/05/2026,4180,42759.0,system 8,2
Singapore Pools Account Betting Service,04/05/2026,4179,12813283.0,QP ordinary,1
Singapore Pools Account Betting Service,04/05/2026,4179,87564.0,QP system 7,2
Singapore Pools Account Betting Service,04/05/2026,4179,87564.0,system 8,2
Singapore Pools Account Betting Service,04/05/2026,4179,87564.0,QP system 7,2
Singapore Pools Account Betting Service,04/05/2026,4179,87564.0,QP system 7,2
Singapore Pools Account Betting Service,04/05/2026,4179,87564.0,QP system 7,2
Singapore Pools Account Betting Service,04/05/2026,4179,87564.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,30/04/2026,4178,58957.0,ordinary,2
Singapore Pools Account Betting Service,30/04/2026,4178,58957.0,QP system 7,2
Singapore Pools Account Betting Service,27/04/2026,4177,120281.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,20/04/2026,4175,52360.0,system 8,2
Singapore Pools Account Betting Service,16/04/2026,4174,37292.0,system 7,2
Singapore Pools Account Betting Service,16/04/2026,4174,37292.0,system 8,2
Singapore Pools Account Betting Service,16/04/2026,4174,37292.0,QP ordinary,2
Singapore Pools Account Betting Service,13/04/2026,4173,253492.0,ordinary,1
Singapore Pools Account Betting Service,13/04/2026,4173,44473.0,ordinary,2
Singapore Pools Account Betting Service,09/04/2026,4172,180831.0,QP ordinary,2
Singapore Pools Account Betting Service,02/04/2026,4170,72459.0,QP ordinary,2
Singapore Pools Account Betting Service,02/04/2026,4170,72459.0,system 8,2
Singapore Pools Account Betting Service,02/04/2026,4170,72459.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,30/03/2026,4169,45117.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,30/03/2026,4169,45117.0,system 8,2
Singapore Pools Account Betting Service,30/03/2026,4169,45117.0,system 9,2
Singapore Pools Account Betting Service,30/03/2026,4169,45117.0,ordinary,2
Singapore Pools Account Betting Service,23/03/2026,4167,133482.0,system 7,2
Singapore Pools Account Betting Service,23/03/2026,4167,1268070.0,QP system 12 iTOTO,1
Singapore Pools Account Betting Service,19/03/2026,4166,33143.0,system 7,2
Singapore Pools Account Betting Service,19/03/2026,4166,33143.0,system 8,2
Singapore Pools Account Betting Service,16/03/2026,4165,68422.0,QP ordinary,2
Singapore Pools Account Betting Service,12/03/2026,4164,3159706.0,system 7,1
Singapore Pools Account Betting Service,09/03/2026,4163,96496.0,QP system 8,2
Singapore Pools Account Betting Service,05/03/2026,4162,1591682.0,system roll,1
Singapore Pools Account Betting Service,05/03/2026,4162,48834.0,QP ordinary,2
Singapore Pools Account Betting Service,05/03/2026,4162,48834.0,system roll,2
Singapore Pools Account Betting Service,05/03/2026,4162,48834.0,system 8,2
Singapore Pools Account Betting Service,05/03/2026,4162,48834.0,system 7,2
Singapore Pools Account Betting Service,05/03/2026,4162,48834.0,QP system 7,2
Singapore Pools Account Betting Service,05/03/2026,4162,48834.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,27/02/2026,4160,4000000.0,QP system 12 iTOTO,1
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,system 7,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,system 7,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,QP system 9,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,QP ordinary,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,QP system 7,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,QP ordinary,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,system 8,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,system 12,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,QP ordinary,2
Singapore Pools Account Betting Service,27/02/2026,4160,77132.0,QP system 8,2
Singapore Pools Account Betting Service,23/02/2026,4159,893718.0,QP ordinary,1
Singapore Pools Account Betting Service,19/02/2026,4158,62079.0,system 7,2
Singapore Pools Account Betting Service,19/02/2026,4158,62079.0,ordinary,2
Singapore Pools Account Betting Service,19/02/2026,4158,62079.0,system 8,2
Singapore Pools Account Betting Service,16/02/2026,4157,1487895.0,QP system 9,1
Singapore Pools Account Betting Service,13/02/2026,4156,86853.0,QP system 9,2
Singapore Pools Account Betting Service,13/02/2026,4156,86853.0,system 9,2
Singapore Pools Account Betting Service,13/02/2026,4156,86853.0,QP system 7,2
Singapore Pools Account Betting Service,13/02/2026,4156,86853.0,QP system 8,2
Singapore Pools Account Betting Service,13/02/2026,4156,86853.0,QP system 7,2
Singapore Pools Account Betting Service,13/02/2026,4156,86853.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,09/02/2026,4155,3263539.0,QP system 12 iTOTO,1
Singapore Pools Account Betting Service,02/02/2026,4153,69460.0,system 8,2
Singapore Pools Account Betting Service,29/01/2026,4152,2254062.0,system 7,1
Singapore Pools Account Betting Service,29/01/2026,4152,2254062.0,QP system 7,1
Singapore Pools Account Betting Service,29/01/2026,4152,2254062.0,ordinary,1
Singapore Pools Account Betting Service,29/01/2026,4152,123040.0,QP system 7,2
Singapore Pools Account Betting Service,29/01/2026,4152,123040.0,QP ordinary,2
Singapore Pools Account Betting Service,29/01/2026,4152,123040.0,system 8,2
Singapore Pools Account Betting Service,29/01/2026,4152,123040.0,system 10,2
Singapore Pools Account Betting Service,29/01/2026,4152,123040.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,29/01/2026,4152,123040.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,29/01/2026,4152,123040.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,26/01/2026,4151,56742.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,26/01/2026,4151,56742.0,system 7,2
Singapore Pools Account Betting Service,26/01/2026,4151,56742.0,QP system 8,2
Singapore Pools Account Betting Service,26/01/2026,4151,56742.0,ordinary,2
Singapore Pools Account Betting Service,26/01/2026,4151,56742.0,QP system 7,2
Singapore Pools Account Betting Service,22/01/2026,4150,71065.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,19/01/2026,4149,67060.0,QP ordinary,2
Singapore Pools Account Betting Service,19/01/2026,4149,67060.0,system 7,2
Singapore Pools Account Betting Service,15/01/2026,4148,87731.0,QP ordinary,2
Singapore Pools Account Betting Service,15/01/2026,4148,87731.0,system 8,2
Singapore Pools Account Betting Service,12/01/2026,4147,645912.0,QP system 7,1
Singapore Pools Account Betting Service,12/01/2026,4147,135982.0,QP system 8,2
Singapore Pools Account Betting Service,12/01/2026,4147,135982.0,QP ordinary,2
Singapore Pools Account Betting Service,08/01/2026,4146,2923900.0,QP ordinary,1
Singapore Pools Account Betting Service,08/01/2026,4146,45197.0,QP system 7,2
Singapore Pools Account Betting Service,08/01/2026,4146,45197.0,QP system 8,2
Singapore Pools Account Betting Service,08/01/2026,4146,45197.0,QP system 7,2
Singapore Pools Account Betting Service,02/01/2026,4144,2653368.0,QP system 7,1
Singapore Pools Account Betting Service,02/01/2026,4144,98578.0,QP system 8,2
Singapore Pools Account Betting Service,02/01/2026,4144,98578.0,system 8,2
Singapore Pools Account Betting Service,02/01/2026,4144,98578.0,QP system 7,2
Singapore Pools Account Betting Service,02/01/2026,4144,98578.0,ordinary,2
Singapore Pools Account Betting Service,02/01/2026,4144,98578.0,QP ordinary,2
Singapore Pools Account Betting Service,02/01/2026,4144,98578.0,system 7,2
Singapore Pools Account Betting Service,02/01/2026,4144,2653368.0,QP system 12 iTOTO,1
Singapore Pools Account Betting Service,02/01/2026,4144,98578.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,25/12/2025,4142,79770.0,QP system 12 iTOTO,2
Singapore Pools Account Betting Service,25/12/2025,4142,5573082.0,QP system 7,1
Singapore Pools Account Betting Service,25/12/2025,4142,79770.0,QP ordinary,2
Singapore Pools Account Betting Service,25/12/2025,4142,79770.0,QP system 7,2
Singapore Pools Account Betting Service,25/12/2025,4142,79770.0,QP ordinary,2
Singapore Pools Account Betting Service,15/12/2025,4139,1231419.0,ordinary,1
Singapore Pools Account Betting Service,11/12/2025,4138,88211.0,QP system 7,2
Singapore Pools Account Betting Service,08/12/2025,4137,88217.0,ordinary,2
Singapore Pools Account Betting Service,01/12/2025,4135,261108.0,ordinary,2
Singapore Pools Account Betting Service,27/11/2025,4134,2867460.0,system 7,1
Singapore Pools Account Betting Service,20/11/2025,4132,1496662.0,QP ordinary,1
Singapore Pools Account Betting Service,20/11/2025,4132,181882.0,QP ordinary,2
Singapore Pools Account Betting Service,17/11/2025,4131,66603.0,system 9,2
Singapore Pools Account Betting Service,13/11/2025,4130,3039287.0,ordinary,1
Singapore Pools Account Betting Service,10/11/2025,4129,67639.0,system 7,2
