outlet_name,detail_url,group1_wins,group2_wins,combined_wins
Singapore Pools Account Betting Service,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY2ODg4MQ%3d%3d,236,1323,1559
Delisia Agency Pte Ltd,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4MTE%3d,26,100,126
Tong Aik Huat,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUzMDM%3d,23,143,166
NTUC FairPrice NEX,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU1MDg%3d,18,82,100
Tan Wee Fong Trading,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTMzMDM%3d,16,72,88
Singapore Pools King George's Ave Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MjAwMQ%3d%3d,16,40,56
NTUC FairPrice AMK Hub,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTU2MDk%3d,16,59,75
Fatt Chye Heng Trading,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUzMDE%3d,16,58,74
PFG Framing & Trading,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY0MDU%3d,14,54,68
Ng Teo Guan Self Service,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQwMDE%3d,14,80,94
Mee Lee Cheong Pte. Ltd.,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUyMTE%3d,14,54,68
Laura's Gifts,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUxMDE%3d,14,32,46
Singapore Pools Suntec City Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MDE5Mg%3d%3d,13,38,51
Singapore Pools People's Park Centre (Chinatown) Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MDUwMQ%3d%3d,13,83,96
NTUC FairPrice Tampines Mall,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUyMDg%3d,13,65,78
7-Eleven Store Eunos Crescent,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQwMDI%3d,13,35,48
Singapore Pools Toa Payoh Lorong 1 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5MzEwMQ%3d%3d,12,49,61
Singapore Pools Hougang N1 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1NTMwMQ%3d%3d,12,47,59
Singapore Pools Clementi N7 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4MTIwMw%3d%3d,12,37,49
NTUC FairPrice Toa Payoh HDB Centre,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTMxMDc%3d,12,34,46
NTUC FairPrice Clementi Avenue 3,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTEyMTQ%3d,12,36,48
Singapore Pools Yishun N1 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NzYwMQ%3d%3d,11,58,69
Singapore Pools Whampoa Drive Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE5MzIwMg%3d%3d,11,54,65
Singapore Pools Teck Whye Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NjgwMQ%3d%3d,11,48,59
Singapore Pools Tanjong Pagar Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MDgwMg%3d%3d,11,61,72
Singapore Pools Jurong West N5 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4NjE5MA%3d%3d,11,64,75
Singapore Pools IMM Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4NjE5NA%3d%3d,11,45,56
Singapore Pools Hougang N2 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1NTMwMg%3d%3d,11,56,67
NTUC FairPrice Yishun MRT Station,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTc2MDQ%3d,11,49,60
NTUC FairPrice Jurong Gateway Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTYwMDE%3d,11,46,57
Jake Merchandise Associates,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUyMDI%3d,11,42,53
7-Eleven Store Yishun Ring Road,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTc2MDE%3d,11,51,62
Wanrise,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTM4MDI%3d,10,41,51
Tay Sui Lan Agency,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTQwNA%3d%3d,10,45,55
Tampines Trading - 828,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUyMDM%3d,10,53,63
Singapore Pools Woodlands 888 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NzMwNA%3d%3d,10,51,61
Singapore Pools Tampines Mart Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE1NTIwMw%3d%3d,10,24,34
Singapore Pools Clementi N3 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE4MTIwMg%3d%3d,10,46,56
Singapore Pools Bencoolen Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE2MTIwMQ%3d%3d,10,58,68
Rangoon Provision Shop,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTIxMDU%3d,10,38,48
NTUC FairPrice Bukit Batok MRT Station,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTY1MDQ%3d,10,30,40
Livewire Singapore Pools,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTg4ODg%3d,10,48,58
Livewire Marina Bay Sands,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTI4MDEwMQ%3d%3d,10,40,50
Lee Eng Trading Store,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTUyMDY%3d,10,44,54
Cheers Harbourfront Centre,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTkwNg%3d%3d,10,35,45
Singapore Pools Woodlands N5 Branch,https://www.singaporepools.com.sg/outlets/Pages/lo_details.aspx?sppl=b2lkPTE3NzMwMg%3d%3d,9,39,48
