lu_category,latitude,longitude,area_sqm
open,1.3421060521888433,103.81718705620034,151032.76760739
infrastructure,1.3417402206095008,103.83493926834561,1162.36542295
institutional,1.3762770965756008,103.73447454025285,7739.75765954
infrastructure,1.4044953232289021,103.86689605177115,7058.520666705
commercial,1.4083569217955592,103.86744855047166,114029.249720635
commercial,1.4070094593724454,103.86539276395766,25734.36513945
commercial,1.3304107393686841,103.63969718833715,15735.454484225
commercial,1.3297828649591674,103.64039567373985,7473.88436723
commercial,1.3367334165558415,103.63871310772143,1313.605072
commercial,1.3340232317637244,103.63856620639937,4130.491562
commercial,1.3344073393163947,103.63926097232675,6916.25428095
commercial,1.3334300627475486,103.63800450166028,4521.657514455
commercial,1.3351700645551863,103.63630285257248,4521.864832465
infrastructure,1.3305130913911425,103.64120777759713,1665.76851946
commercial,1.3307989041808392,103.63565793209736,20099.31744941
commercial,1.3308367801730723,103.6374291395335,24918.260598605
infrastructure,1.3286423693058669,103.63412023669463,2441.437621695
infrastructure,1.3347152435127567,103.63724987031593,10789.603845565
commercial,1.3377162959141915,103.63862229618815,1406.370647
commercial,1.3364615204400727,103.63723805225422,5016.496126
commercial,1.3349714797012247,103.63779499781985,4130.37196335
commercial,1.3360796118294664,103.63963087709774,10033.1158156
commercial,1.3340764245256982,103.63732553000659,4521.69892475
commercial,1.3343663140161148,103.64122044701716,28980.7248628
open,1.3404274111161347,103.63572821877634,84474.099693755
commercial,1.3373697874538777,103.63943672503294,2530.664696
commercial,1.3334557219174252,103.63661363864328,4519.67521095
commercial,1.3314175015580567,103.63864653866415,16600.108955325
commercial,1.3367608441386583,103.63891948880512,1313.8297335
commercial,1.337479741181396,103.63840002354686,1406.2910205
commercial,1.3368791522337322,103.63903065926407,1315.8064065
commercial,1.3371462454637015,103.63827964014703,1404.6371655
commercial,1.3364767260451333,103.6360786658333,10402.68085464
commercial,1.3368157460925165,103.63686588127969,5016.483592
commercial,1.3352697667204165,103.63748161129861,4130.44182665
commercial,1.3337532445713924,103.63766501390049,4521.677805995
commercial,1.3347227679717082,103.63664655458842,4521.6732117
commercial,1.3355628870747924,103.63575316627279,7626.559175335
commercial,1.329745597326279,103.63352799604102,19656.70912065
commercial,1.3335289379064095,103.64043991988713,14493.293234
commercial,1.336644643746732,103.63813923264111,229.8651473
commercial,1.336720512955654,103.64000602971662,4977.95190525
commercial,1.3331324084058396,103.63695323071472,4521.5567175
commercial,1.3324162563983248,103.63764921768346,5001.6749876
commercial,1.326938939146466,103.63250439098245,24212.68192525
commercial,1.3321168539634367,103.6425523871303,4124.82436255
commercial,1.3334273264416039,103.64228484390107,8091.730943185
commercial,1.3313440533057186,103.64185357910215,4124.9967655
commercial,1.3328852443054897,103.643206220543,4124.6561933
commercial,1.3307770289977554,103.6411584110801,3940.03108104
commercial,1.331066009455332,103.641565122006,3234.475977
commercial,1.3325918573035485,103.64149990325915,8091.84744897
commercial,1.3321869380224898,103.6411021486345,9261.89886015
commercial,1.3318127036374292,103.642039932445,4125.070844
commercial,1.33252069898338,103.64286376118544,4124.54395355
open,1.3425280447904875,103.63671942143469,16070.07776057
open,1.3422750758201871,103.63526574570191,42470.651039065
infrastructure,1.33806634302073,103.63502266976008,2789.007044925
infrastructure,1.3322572108146773,103.63857477894949,1665.222213
infrastructure,1.332106879121973,103.63741689350917,29799.949674845
commercial,1.3364773176592124,103.64043665484269,224.0095575
infrastructure,1.3357313182225004,103.63845263443767,724.80231002
infrastructure,1.3387596204676728,103.63776154705963,1362.964659045
commercial,1.3368738464880687,103.63802276355659,2479.0665166
commercial,1.3377151700017358,103.63914206687292,229.58645475
commercial,1.335997299134971,103.64056394141146,10637.84327934
commercial,1.333778888867214,103.63627411640293,4518.7398376
commercial,1.3328092232525206,103.63729282789976,4515.24213635
commercial,1.3372301097814734,103.63917982204808,1315.7731005
infrastructure,1.3463539927627413,103.63663138574215,1511.602212835
commercial,1.339088922662797,103.63714743561134,11605.558698
commercial,1.3370516262758658,103.63819073399364,1404.05160645
commercial,1.3371466380669397,103.63870233076301,1075.22718745
commercial,1.3348765901857533,103.63533803677963,8722.37435764
infrastructure,1.4383270755151454,103.85119495893248,79156.759010885
infrastructure,1.4458506183897704,103.86655537393229,66237.486849245
other,1.4545146497001449,103.85119535877452,816986.24213074
infrastructure,1.4573689663524025,103.85256063435092,40046.510261985
other,1.4440508263732552,103.86414559790639,1545041.18852826
open,1.418405444728758,103.96933796082122,273859.767714365
open,1.407161503363235,103.95433014570757,48000.994324115
